scian,industrie,niveau,serie_terminee,annee,mois,mois_num,emplois_n,tcm_pct,note_valeur
,Ensemble des industries,0,False,2025,Janvier,1,4088902.0,0.1,
,Ensemble des industries,0,False,2025,Février,2,4094569.0,0.1,
,Ensemble des industries,0,False,2025,Mars,3,4090961.0,-0.1,
,Ensemble des industries,0,False,2025,Avril,4,4083929.0,-0.2,
,Ensemble des industries,0,False,2025,Mai,5,4077171.0,-0.2,
,Ensemble des industries,0,False,2025,Juin,6,4074159.0,-0.1,
,Ensemble des industries,0,False,2025,Juillet,7,4074627.0,0.0,
,Ensemble des industries,0,False,2025,Août,8,4077792.0,0.1,
,Ensemble des industries,0,False,2025,Septembre,9,4082245.0,0.1,
,Ensemble des industries,0,False,2025,Octobre,10,4084258.0,0.0,
,Ensemble des industries,0,False,2025,Novembre,11,4084489.0,0.0,
,Ensemble des industries,0,False,2025,Décembre,12,4082345.0,-0.1,
,Industries de services,0,False,2025,Janvier,1,3280316.0,0.1,
,Industries de services,0,False,2025,Février,2,3284014.0,0.1,
,Industries de services,0,False,2025,Mars,3,3280678.0,-0.1,
,Industries de services,0,False,2025,Avril,4,3273518.0,-0.2,
,Industries de services,0,False,2025,Mai,5,3267573.0,-0.2,
,Industries de services,0,False,2025,Juin,6,3264496.0,-0.1,
,Industries de services,0,False,2025,Juillet,7,3265267.0,0.0,
,Industries de services,0,False,2025,Août,8,3267131.0,0.1,
,Industries de services,0,False,2025,Septembre,9,3270561.0,0.1,
,Industries de services,0,False,2025,Octobre,10,3269850.0,0.0,
,Industries de services,0,False,2025,Novembre,11,3267936.0,-0.1,
,Industries de services,0,False,2025,Décembre,12,3264731.0,-0.1,
4592,Librairies et marchands de journaux,0,False,2025,Janvier,1,3753.0,-0.1,
4592,Librairies et marchands de journaux,0,False,2025,Février,2,3743.0,-0.3,
4592,Librairies et marchands de journaux,0,False,2025,Mars,3,3743.0,0.0,
4592,Librairies et marchands de journaux,0,False,2025,Avril,4,3746.0,0.1,
4592,Librairies et marchands de journaux,0,False,2025,Mai,5,3769.0,0.6,
4592,Librairies et marchands de journaux,0,False,2025,Juin,6,3799.0,0.8,
4592,Librairies et marchands de journaux,0,False,2025,Juillet,7,3801.0,0.0,
4592,Librairies et marchands de journaux,0,False,2025,Août,8,3731.0,-1.8,
